facenum,block,emotion,reward
11,1,happy,CEVR
13,1,happy,CEVR
12,1,happy,CEVR
15,1,happy,CEVR
25,1,happy,CEVR
23,1,happy,CEVR
8,1,happy,CEVR
5,1,happy,CEVR
17,1,happy,CEVR
22,1,happy,CEVR
3,1,happy,CEVR
21,1,happy,CEVR
10,1,happy,CEVR
24,1,happy,CEVR
1,1,happy,CEVR
20,1,happy,CEVR
16,1,happy,CEVR
2,1,happy,CEVR
19,1,happy,CEVR
6,1,happy,CEVR
7,1,happy,CEVR
9,1,happy,CEVR
14,1,happy,CEVR
18,1,happy,CEVR
4,1,happy,CEVR
20,1,happy,CEVR
21,1,happy,CEVR
3,1,happy,CEVR
19,1,happy,CEVR
7,1,happy,CEVR
8,1,happy,CEVR
24,1,happy,CEVR
13,1,happy,CEVR
18,1,happy,CEVR
17,1,happy,CEVR
14,1,happy,CEVR
23,1,happy,CEVR
4,1,happy,CEVR
9,1,happy,CEVR
10,1,happy,CEVR
12,1,happy,CEVR
2,1,happy,CEVR
16,1,happy,CEVR
5,1,happy,CEVR
11,1,happy,CEVR
22,1,happy,CEVR
25,1,happy,CEVR
6,1,happy,CEVR
1,1,happy,CEVR
15,1,happy,CEVR
23,2,fear,DEV
15,2,fear,DEV
10,2,fear,DEV
19,2,fear,DEV
9,2,fear,DEV
6,2,fear,DEV
22,2,fear,DEV
20,2,fear,DEV
1,2,fear,DEV
16,2,fear,DEV
21,2,fear,DEV
8,2,fear,DEV
14,2,fear,DEV
24,2,fear,DEV
5,2,fear,DEV
12,2,fear,DEV
18,2,fear,DEV
3,2,fear,DEV
25,2,fear,DEV
7,2,fear,DEV
13,2,fear,DEV
11,2,fear,DEV
4,2,fear,DEV
2,2,fear,DEV
17,2,fear,DEV
25,2,fear,DEV
19,2,fear,DEV
15,2,fear,DEV
16,2,fear,DEV
13,2,fear,DEV
21,2,fear,DEV
11,2,fear,DEV
2,2,fear,DEV
17,2,fear,DEV
3,2,fear,DEV
7,2,fear,DEV
8,2,fear,DEV
24,2,fear,DEV
6,2,fear,DEV
22,2,fear,DEV
14,2,fear,DEV
18,2,fear,DEV
20,2,fear,DEV
10,2,fear,DEV
12,2,fear,DEV
1,2,fear,DEV
9,2,fear,DEV
5,2,fear,DEV
23,2,fear,DEV
4,2,fear,DEV
22,3,scram,CEV
6,3,scram,CEV
24,3,scram,CEV
23,3,scram,CEV
11,3,scram,CEV
1,3,scram,CEV
8,3,scram,CEV
14,3,scram,CEV
10,3,scram,CEV
5,3,scram,CEV
4,3,scram,CEV
15,3,scram,CEV
19,3,scram,CEV
20,3,scram,CEV
7,3,scram,CEV
25,3,scram,CEV
17,3,scram,CEV
9,3,scram,CEV
16,3,scram,CEV
12,3,scram,CEV
3,3,scram,CEV
18,3,scram,CEV
13,3,scram,CEV
2,3,scram,CEV
21,3,scram,CEV
12,3,scram,CEV
2,3,scram,CEV
1,3,scram,CEV
25,3,scram,CEV
9,3,scram,CEV
15,3,scram,CEV
20,3,scram,CEV
11,3,scram,CEV
13,3,scram,CEV
22,3,scram,CEV
17,3,scram,CEV
7,3,scram,CEV
19,3,scram,CEV
24,3,scram,CEV
6,3,scram,CEV
3,3,scram,CEV
5,3,scram,CEV
14,3,scram,CEV
8,3,scram,CEV
18,3,scram,CEV
21,3,scram,CEV
4,3,scram,CEV
10,3,scram,CEV
23,3,scram,CEV
16,3,scram,CEV
18,4,fear,CEVR
3,4,fear,CEVR
8,4,fear,CEVR
15,4,fear,CEVR
20,4,fear,CEVR
11,4,fear,CEVR
4,4,fear,CEVR
6,4,fear,CEVR
9,4,fear,CEVR
1,4,fear,CEVR
12,4,fear,CEVR
19,4,fear,CEVR
21,4,fear,CEVR
16,4,fear,CEVR
2,4,fear,CEVR
14,4,fear,CEVR
7,4,fear,CEVR
22,4,fear,CEVR
13,4,fear,CEVR
5,4,fear,CEVR
10,4,fear,CEVR
24,4,fear,CEVR
25,4,fear,CEVR
17,4,fear,CEVR
23,4,fear,CEVR
24,4,fear,CEVR
14,4,fear,CEVR
8,4,fear,CEVR
18,4,fear,CEVR
16,4,fear,CEVR
17,4,fear,CEVR
12,4,fear,CEVR
9,4,fear,CEVR
1,4,fear,CEVR
5,4,fear,CEVR
4,4,fear,CEVR
20,4,fear,CEVR
7,4,fear,CEVR
11,4,fear,CEVR
25,4,fear,CEVR
6,4,fear,CEVR
23,4,fear,CEVR
3,4,fear,CEVR
2,4,fear,CEVR
15,4,fear,CEVR
10,4,fear,CEVR
19,4,fear,CEVR
21,4,fear,CEVR
13,4,fear,CEVR
22,4,fear,CEVR
23,5,happy,CEV
3,5,happy,CEV
10,5,happy,CEV
